,text
129,"Рядом детский сад, школа. Места крайне мало. Сплошные неудобства. Просто преступные."
130,"Собянин вообще озверел со своей застройкой. На каждом пятачке стоят 20-этажей жилья как минимум. Москва превращается в железобетонные джунгли, где скоро неба не будет видно."
131,"Не хочу ,что бы занимали природоохранные зоны и смотреть соседям окна в окна."
132,Я тоже не хочу рядом точечной застройки.а в этом доме мои живут друзья.
133,То же самое по всей Москве. Это безобразие нужно прекратить. 
134,Требую остановить безумие точечной застройки.
135,"Живу в соседнем районе, знаю эти места, возмущён до предела! "
136,"Спасибо! <br />Такая же беда пришла: Москва, СВАО, Бабушкинский, Верхоянская 10. <br />И двор захватывают, и деревья вырубают, и детскую площадку сносят, и окна в окна и вишенка на торте - сам детский сад тоже сносят. Меняют назначение земель. ПС с нарушениями прошли. Рейдеры одним словом."
137,Я против точечной уплотнительной застройки в районе со сложившейся инфраструктурой.
138,Предлагаемый проект нарушает строительные нормы и жизнь людей в существующих домах.
139,"В нашем Люблино под стартовую площадку изъяли две большие парковки. Парковаться и так было негде, а сейчас просто ад. А будет ещё хуже. "
140,"Подписал Вашу петицию. Прошу Вас и читающих этот комментарий, подпишите пожалуйста и мою петицию &quot;Обманутых дольщиков снова обманывают&quot;. Ссылка на петицию: https://www.change.org/p/%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82-%D1%80%D1%84-%D0%BE%D0%B1%D0%BC%D0%B0%D0%BD%D1%83%D1%82%D1%8B%D1%85-%D0%B4%D0%BE%D0%BB%D1%8C%D1%89%D0%B8%D0%BA%D0%BE%D0%B2-%D0%BE%D0%BF%D1%8F%D1%82%D1%8C-%D0%BE%D0%B1%D0%BC%D0%B0%D0%BD%D1%8B%D0%B2%D0%B0%D1%8E%D1%82?recruiter=258843401&amp;utm_source=share_petition&amp;utm_medium=copylink&amp;utm_campaign=share_petition "
141,Дайте жителям жить спокойно. 
142,Плотность застройки и уничтожение зелёных дворов - прямой путь к криминогенности среды города. 
143,http://chng.it/xLyHzRFKKQ подпишите плиз!
144,"Это нечестная борьба. Под прикрытием реновации у нас отбирают нашу придомовую территорию. Наши шансы неравные. На стороне застройщика - финансовые, административные и политические ресурсы. У нас - только помощь обычных людей, таких, как мы. У которых нет загородных дворцов и зарубежной недвижимости. Для тех, кому важны деревья во дворе, детская площадка и солнечный свет в окне."
145,"Тезис здесь вдохновил - город не имеет права пользоваться землёй, пока она не оформлена?!?<br />Кто может прокомментировать?<br />Нам тоже в Управа  и Глава муниципальных депутатов  заявляют - если территория не оформлена, то город бетономешалки имеют право ездить по двору. "
146,руки прочь от наших дворов!
147,"и у нас во дворе идет ползучее отторжение придомовой территории. Расширяют платную парковку, отхватили часть двора для каких-то бытовок, огородили металлическим забором..."
148,"Подписал Вашу петицию!!! Прошу Вас и читающих этот комментарий, подпишите и мою петицию Предложение провести исследование на государственном уровне болезни Моргеллонов<br />https://clck.ru/Ecfkb<br />"
149,Мичуринский 30б с Вами. Против строительного терроризма.
150,"Нас всех скоро закатают в бетон и плитку, а сверху поставят человейник."
151,Руки прочь от Москвы!
152,Я против точечной и уплотнительной застройки в нашем городе! Жизнь людей должна быть комфортной. 
153,Придомовой територия принадлежит дому!! 
154,Я за безопасную среду обитания наших детей! Я против незаконного строительства в нашем дворе!!!
155,И так уже все застроили
156,Сохраним наши дворы!
157,Против точечной застройки. 
158,Мы требуем соблюдения своих прав на чистый воздух и благоприятную окружающую среду. Невозможно уплотнять город до бесконечности ради  прибылей строительных фирм. После такой застройки наступит транспортный коллапс и по головам жителей будут строить новые магистрали
159,"Полностью поддерживаю.<br />К сожалению, в  Москве  это происходит  везде.<br />Наглые и жадные  застройщики и их покровители в лице  городской  власти,  не успокоятся, пока всё не уничтожат  и превратят Москву в бетонные  джунгли.  Так  уничтожили  в Лосиноостровском  районе  старинный, с историей  ВОВ,  стадион  Красная стрела,  под застройку высотками.  Мнение  людей  им до лампочки,  что хотят,  то и творят, изверги.  "
160,Не позволим жуликам уродовать наш город.
161,Я против точечной застройки
162,"Я подписываю, потому что ранее проживала  по адресу Вересковая д. 1 Корп. 2, и моя дочь учится в школе N1138 рядом с местом застройки. "
163,Я против кражи собственности!!!! Собянина и ко в отставку. Отправлено разрушает город! Ухудшает условия жизни в районе! Нарушает Констиуцию РФ! 
164,Живу в доме по адресу Вересковая 1к1
165,"НЕ хочу, чтобы росло напряжение в Москве, и народ исполчался за свою землю: дворы, школы, сады, деревья. Хочу, чтобы права жителей НЕсносимых домов тоже соблюдались! Чтобы Все жители районов участвовали в градостроительной деятельности, как это предполагает законодательство!"
166,"Мне очень нравится район Свиблово, я не хочу, чтобы его портили"
167,Против каменных джунглей
